week,ACCESS1.0,CanESM2,CCSM4,CNRM.CM5,CSIRO.Mk3.6.0,GFDL.ESM2G,inmcm4,MIROC5,MPI.ESM.LR,MRI-CGCM3,HadGEM2.CC,HadGEM2-ES,month,stweek,endweek,year,holiday,season,decade,cdd1,cdd2,cdd3,cdd4,cdd5,cdd6,cdd7,cdd8,cdd9,cdd10,cdd11,cdd12
14,139.8249335,78.77493405,123.4999318,136.049933,129.7749336,158.2749314,174.1999359,40.79993427,43.47493398,66.77493453,88.59993672,27.59993315,4,4/2/2010,4/8/2010,2010,1,Dry,2020s,39,39,39,39,39,39,39,39,39,39,39,39
15,4.799988747,2.699988842,4.224988937,4.674988747,4.449988842,5.424988747,5.974988937,1.39998889,1.499988794,2.299988747,3.049988985,0.949988842,4,4/9/2010,4/15/2010,2010,0,Dry,2020s,35,35,35,35,35,35,35,35,35,35,35,35
16,35.97494447,20.24994439,31.74994397,34.97494459,33.37494457,40.69994473,44.79994547,10.47494411,11.19994402,17.14994431,22.79994476,7.074944228,4,4/16/2010,4/22/2010,2010,0,Dry,2020s,35,35,35,35,35,35,35,35,35,35,35,35
17,29.17493331,16.44993323,25.77493322,28.39993334,27.07493377,33.02493262,36.34993315,8.524933159,9.099933088,13.92493314,18.47493351,5.774932995,4,4/23/2010,4/29/2010,2010,0,Dry,2020s,33,33,33,33,33,33,33,33,33,33,33,33
18,22.74994469,24.52494478,26.97494495,24.62494421,13.69994402,19.72494447,31.72494459,46.27494454,31.87494421,28.04994404,29.54994464,23.74994493,5,4/30/2010,5/6/2010,2010,0,Dry,2020s,28,28,28,28,28,28,28,28,28,28,28,28
19,24.69995546,26.67495561,29.34995604,26.77495599,14.87495565,21.44995534,34.54995608,50.34995604,34.67495513,30.5249548,32.1749568,25.84995556,5,5/7/2010,5/13/2010,2010,0,Dry,2020s,29,29,29,29,29,29,29,29,29,29,29,29
20,16.92496669,18.27496684,20.09996712,18.34996712,10.19996661,14.69996643,23.62496686,34.474967,23.74996638,20.87496698,22.04996693,17.69996715,5,5/14/2010,5/20/2010,2010,0,Dry,2020s,30,30,30,30,30,30,30,30,30,30,30,30
21,36.02495623,38.8499549,42.74995524,39.02495509,21.67495573,31.29995564,50.29995549,73.34995568,50.54995549,44.44995546,46.89995605,37.64995468,5,5/21/2010,5/27/2010,2010,1,Dry,2020s,28,28,28,28,28,28,28,28,28,28,28,28
22,10.77495551,11.62495553,12.79995561,11.67495561,6.499955475,9.34995544,15.04995573,21.94995546,15.14995563,13.32495546,14.04995561,11.27495551,6,5/28/2010,6/3/2010,2010,0,Dry,2020s,25,25,25,25,25,25,25,25,25,25,25,25
23,0,0,0,0,0,0,0,0,0,0,0,0,6,6/4/2010,6/10/2010,2010,0,Dry,2020s,29,29,29,29,29,29,29,29,29,29,29,29
24,0,0,0,0,0,0,0,0,0,0,0,0,6,6/11/2010,6/17/2010,2010,0,Dry,2020s,30,30,30,30,30,30,30,30,30,30,30,30
25,33.47495627,63.62495565,81.52495766,36.94995522,63.04995489,23.82495618,48.92495608,59.8999548,43.1749568,41.99995637,35.5999558,33.77495575,6,6/18/2010,6/24/2010,2010,0,Dry,2020s,33,33,33,33,33,33,33,33,33,33,33,33
26,48.07493317,87.89993265,112.2499322,50.8749342,86.99993351,34.17493433,69.62493372,84.07493496,60.54993451,58.89993477,50.34993362,47.34993279,7,6/25/2010,7/1/2010,2010,1,Dry,2020s,33,33,33,33,33,33,33,33,33,33,33,33
27,4.174966574,0.974966496,0.424966477,0.174966475,0.774966493,2.874966562,4.649966359,3.549966395,2.524966478,2.349966496,2.824966431,1.949966431,7,7/2/2010,7/8/2010,2010,0,Dry,2020s,34,34,35,37,35,34,34,34,34,34,34,34
28,24.22497779,5.724977955,2.624977715,1.049977679,4.499977663,16.82497817,27.12497741,20.72497779,14.62497777,13.77497795,16.37497795,11.37497815,7,7/9/2010,7/15/2010,2010,0,Dry,2020s,34,36,37,39,37,34,34,34,34,34,34,34
29,0,0,0,0,0,0,0,0,0,0,0,0,7,7/16/2010,7/22/2010,2010,0,Dry,2020s,38,40,41,43,41,38,38,38,38,38,38,38
30,43.54996514,10.32496625,4.724966615,1.874966461,8.049966559,30.19996756,48.72496819,37.24996662,26.29996687,24.74996644,29.42496711,20.42496675,7,7/23/2010,7/29/2010,2010,0,Dry,2020s,40,42,44,46,44,40,40,40,40,40,40,40
31,26.84998894,14.64998913,10.47498894,3.299988985,2.624988794,4.774989128,8.599988937,6.724988937,11.27498913,13.67498875,90.82498932,7.399989128,8,7/30/2010,8/5/2010,2010,0,Dry,2020s,42,44,46,48,46,42,42,42,42,42,42,42
32,82.87496948,45.224967,32.32496738,10.17496681,8.099966407,14.74996686,26.54996729,20.77496719,34.79996634,42.224967,280.3499641,22.849967,8,8/6/2010,8/12/2010,2010,0,Dry,2020s,41,43,45,47,45,41,41,41,41,41,41,41
33,0,0,0,0,0,0,0,0,0,0,0,0,8,8/13/2010,8/19/2010,2010,0,Dry,2020s,38,40,42,44,42,38,38,38,38,38,38,38
34,15.49998951,8.449989319,6.049988747,1.89998889,1.52498889,2.749988794,4.974988937,3.874988794,6.499989033,7.899989128,52.39999008,4.274988651,8,8/20/2010,8/26/2010,2010,0,Dry,2020s,44,46,48,50,48,44,44,44,44,44,44,44
35,0,0,0,0,0,0,0,0,0,0,0,0,9,8/27/2010,9/2/2010,2010,0,Dry,2020s,48,50,51,52,51,48,48,48,48,48,48,48
36,0,0,0,0,0,0,0,0,0,0,0,0,9,9/3/2010,9/9/2010,2010,1,Dry,2020s,52,52,53,53,53,52,52,52,52,52,52,52
37,31.59997773,159.6249733,4.199977636,46.79997826,170.2999821,58.37497902,153.4499798,99.32498169,124.8249826,38.92497873,149.5499735,122.7499771,9,9/10/2010,9/16/2010,2010,0,Dry,2020s,52,52,53,53,53,52,52,52,52,52,52,52
38,0,0,0,0,0,0,0,0,0,0,0,0,9,9/17/2010,9/23/2010,2010,0,Dry,2020s,51,51,51,51,51,51,51,51,51,51,51,51
39,4.924988747,24.82498932,0.64998883,7.274989128,26.49998856,9.074989319,23.87498856,15.44998932,19.4249897,6.049988747,23.27499008,19.09998894,9,9/24/2010,9/30/2010,2010,0,Dry,2020s,53,53,53,53,53,53,53,53,53,53,53,53
40,14.99997735,25.77497888,26.69997811,39.59997988,30.07497811,8.924977899,7.524977982,15.37497818,21.09997702,1.549977615,9.499977946,30.47497869,10,10/1/2010,10/7/2010,2010,0,Rainy,2020s,52,52,52,52,52,52,52,52,52,52,52,52
41,0,0,0,0,0,0,0,0,0,0,0,0,10,10/8/2010,10/14/2010,2010,1,Rainy,2020s,54,54,54,54,54,54,54,54,54,55,54,54
42,91.5249356,157.3749349,162.9249337,241.7249341,183.6249352,54.42493439,45.9999336,93.87493491,128.8499334,9.574933156,58.07493305,186.1749389,10,10/15/2010,10/21/2010,2010,0,Rainy,2020s,54,54,54,54,54,54,54,54,54,55,54,54
