"Location","Scenario","Var","Month","Decade","Min","Max"
"Kamloops, British Columbia","RCP 4.5","Precipitation","Aug","2060-2069",3,79
"Kamloops, British Columbia","RCP 4.5","Precipitation","Sep","2060-2069",4,67
"Kamloops, British Columbia","RCP 4.5","Precipitation","Oct","2060-2069",4,41
"Kamloops, British Columbia","RCP 4.5","Precipitation","Nov","2060-2069",11,43
"Kamloops, British Columbia","RCP 4.5","Precipitation","Dec","2060-2069",13,70
"Kamloops, British Columbia","RCP 4.5","Precipitation","Jan","2070-2079",11,70
"Kamloops, British Columbia","RCP 4.5","Precipitation","Feb","2070-2079",3,32
"Kamloops, British Columbia","RCP 4.5","Precipitation","Mar","2070-2079",3,23
"Kamloops, British Columbia","RCP 4.5","Precipitation","Apr","2070-2079",5,28
"Kamloops, British Columbia","RCP 4.5","Precipitation","May","2070-2079",9,48
"Kamloops, British Columbia","RCP 4.5","Precipitation","Jun","2070-2079",11,53
"Kamloops, British Columbia","RCP 4.5","Precipitation","Jul","2070-2079",4,57
"Kamloops, British Columbia","RCP 4.5","Precipitation","Aug","2070-2079",5,85
"Kamloops, British Columbia","RCP 4.5","Precipitation","Sep","2070-2079",6,65
"Kamloops, British Columbia","RCP 4.5","Precipitation","Oct","2070-2079",2,35
"Kamloops, British Columbia","RCP 4.5","Precipitation","Nov","2070-2079",9,46
"Kamloops, British Columbia","RCP 4.5","Precipitation","Dec","2070-2079",9,70
"Kamloops, British Columbia","RCP 4.5","Precipitation","Jan","2080-2089",7,63
"Kamloops, British Columbia","RCP 4.5","Precipitation","Feb","2080-2089",6,27
"Kamloops, British Columbia","RCP 4.5","Precipitation","Mar","2080-2089",4,18
"Kamloops, British Columbia","RCP 4.5","Precipitation","Apr","2080-2089",4,29
"Kamloops, British Columbia","RCP 4.5","Precipitation","May","2080-2089",7,48
"Kamloops, British Columbia","RCP 4.5","Precipitation","Jun","2080-2089",6,69
"Kamloops, British Columbia","RCP 4.5","Precipitation","Jul","2080-2089",5,76
"Kamloops, British Columbia","RCP 4.5","Precipitation","Aug","2080-2089",8,60
"Kamloops, British Columbia","RCP 4.5","Precipitation","Sep","2080-2089",5,70
"Kamloops, British Columbia","RCP 4.5","Precipitation","Oct","2080-2089",5,30
"Kamloops, British Columbia","RCP 4.5","Precipitation","Nov","2080-2089",10,48
"Kamloops, British Columbia","RCP 4.5","Precipitation","Dec","2080-2089",8,90
"Kamloops, British Columbia","RCP 4.5","Precipitation","Jan","2090-2099",15,59
"Kamloops, British Columbia","RCP 4.5","Precipitation","Feb","2090-2099",4,27
"Kamloops, British Columbia","RCP 4.5","Precipitation","Mar","2090-2099",3,20
"Kamloops, British Columbia","RCP 4.5","Precipitation","Apr","2090-2099",7,30
"Kamloops, British Columbia","RCP 4.5","Precipitation","May","2090-2099",7,44
"Kamloops, British Columbia","RCP 4.5","Precipitation","Jun","2090-2099",12,63
"Kamloops, British Columbia","RCP 4.5","Precipitation","Jul","2090-2099",8,67
"Kamloops, British Columbia","RCP 4.5","Precipitation","Aug","2090-2099",3,60
"Kamloops, British Columbia","RCP 4.5","Precipitation","Sep","2090-2099",5,61
"Kamloops, British Columbia","RCP 4.5","Precipitation","Oct","2090-2099",3,31
"Kamloops, British Columbia","RCP 4.5","Precipitation","Nov","2090-2099",12,45
"Kamloops, British Columbia","RCP 4.5","Precipitation","Dec","2090-2099",4,68
"Kamloops, British Columbia","RCP 4.5","Temperature","Jan","2010-2019",-13.2,0.5
"Kamloops, British Columbia","RCP 4.5","Temperature","Feb","2010-2019",-5.2,6.8
"Kamloops, British Columbia","RCP 4.5","Temperature","Mar","2010-2019",-2.5,9.3
"Kamloops, British Columbia","RCP 4.5","Temperature","Apr","2010-2019",5.3,13.9
"Kamloops, British Columbia","RCP 4.5","Temperature","May","2010-2019",9.5,17.3
"Kamloops, British Columbia","RCP 4.5","Temperature","Jun","2010-2019",15,21.3
"Kamloops, British Columbia","RCP 4.5","Temperature","Jul","2010-2019",17.8,24.2
"Kamloops, British Columbia","RCP 4.5","Temperature","Aug","2010-2019",17,22.3
"Kamloops, British Columbia","RCP 4.5","Temperature","Sep","2010-2019",11.9,18.1
"Kamloops, British Columbia","RCP 4.5","Temperature","Oct","2010-2019",4.2,11.6
"Kamloops, British Columbia","RCP 4.5","Temperature","Nov","2010-2019",-2.2,6
"Kamloops, British Columbia","RCP 4.5","Temperature","Dec","2010-2019",-11.1,0.8
"Kamloops, British Columbia","RCP 4.5","Temperature","Jan","2020-2029",-12,1.1
"Kamloops, British Columbia","RCP 4.5","Temperature","Feb","2020-2029",-5.3,6.2
"Kamloops, British Columbia","RCP 4.5","Temperature","Mar","2020-2029",0,9.6
"Kamloops, British Columbia","RCP 4.5","Temperature","Apr","2020-2029",5.5,13.9
"Kamloops, British Columbia","RCP 4.5","Temperature","May","2020-2029",11.6,17.8
"Kamloops, British Columbia","RCP 4.5","Temperature","Jun","2020-2029",15.3,20.5
"Kamloops, British Columbia","RCP 4.5","Temperature","Jul","2020-2029",17.5,24.3
"Kamloops, British Columbia","RCP 4.5","Temperature","Aug","2020-2029",18.6,23.8
"Kamloops, British Columbia","RCP 4.5","Temperature","Sep","2020-2029",11.6,18.6
"Kamloops, British Columbia","RCP 4.5","Temperature","Oct","2020-2029",2.9,11.9
"Kamloops, British Columbia","RCP 4.5","Temperature","Nov","2020-2029",-4.4,6
"Kamloops, British Columbia","RCP 4.5","Temperature","Dec","2020-2029",-9.5,1.8
