Week,Disease_name,Reporting_date,Year,Cases,Month,Precipitation,Cases2,Dry Days,Holiday_Week,Season,Turbidity,Week_no
1,Cryptosporidiosis+Giardiasis,08-01-05,2008,90,1,53.1,5,11,1,Rainy,0.84,1
2,Cryptosporidiosis+Giardiasis,08-01-12,2008,75,1,7.22,7,12,0,Rainy,1.43,2
3,Cryptosporidiosis+Giardiasis,08-01-19,2008,84,1,145.57,63,13,0,Rainy,4.3,3
4,Cryptosporidiosis+Giardiasis,08-01-26,2008,90,1,39,78,14,0,Rainy,4.66,4
5,Cryptosporidiosis+Giardiasis,08-02-02,2008,78,2,77.47,58,16,0,Rainy,3.3,5
6,Cryptosporidiosis+Giardiasis,08-02-09,2008,111,2,30.72,49,21,0,Rainy,2.6,6
7,Cryptosporidiosis+Giardiasis,08-02-16,2008,125,2,61.17,64,21,0,Rainy,2.92,7
8,Cryptosporidiosis+Giardiasis,08-02-23,2008,101,2,5.7,44,23,0,Rainy,1.42,8
9,Cryptosporidiosis+Giardiasis,08-03-01,2008,90,3,49.8,71,25,0,Rainy,1.79,9
10,Cryptosporidiosis+Giardiasis,08-03-08,2008,90,3,79.4,86,26,0,Rainy,1.3,10
11,Cryptosporidiosis+Giardiasis,08-03-15,2008,87,3,164.95,66,25,0,Rainy,5.3,11
12,Cryptosporidiosis+Giardiasis,08-03-22,2008,81,3,33.72,89,25,0,Rainy,5.62,12
13,Cryptosporidiosis+Giardiasis,08-03-29,2008,126,3,48.75,66,23,1,Rainy,4.77,13
14,Cryptosporidiosis+Giardiasis,08-04-05,2008,150,4,1.77,84,24,0,Dry,0.39,14
15,Cryptosporidiosis+Giardiasis,08-04-12,2008,150,4,53.3,59,25,0,Dry,1.84,15
16,Cryptosporidiosis+Giardiasis,08-04-19,2008,126,4,52.77,74,27,0,Dry,1.83,16
17,Cryptosporidiosis+Giardiasis,08-04-26,2008,96,4,32.77,54,26,0,Dry,1.61,17
18,Cryptosporidiosis+Giardiasis,08-05-03,2008,108,5,62.92,63,22,0,Dry,1.94,18
19,Cryptosporidiosis+Giardiasis,08-05-10,2008,93,5,0,78,27,0,Dry,0.37,19
20,Cryptosporidiosis+Giardiasis,08-05-17,2008,93,5,6.5,58,32,1,Dry,0.42,20
21,Cryptosporidiosis+Giardiasis,08-05-24,2008,64,5,15.32,10,32,0,Dry,0.5,21
22,Cryptosporidiosis+Giardiasis,08-05-31,2008,90,5,79.72,63,32,0,Dry,1.3,22
23,Cryptosporidiosis+Giardiasis,08-06-07,2008,105,6,6.75,78,27,0,Dry,1.43,23
24,Cryptosporidiosis+Giardiasis,08-06-14,2008,168,6,47,58,30,0,Dry,0.75,24
25,Cryptosporidiosis+Giardiasis,08-06-21,2008,147,6,85.15,63,28,0,Dry,1.6,25
26,Cryptosporidiosis+Giardiasis,08-06-28,2008,138,6,40.2,78,26,1,Dry,1.67,26
27,Cryptosporidiosis+Giardiasis,08-07-05,2008,120,7,108.82,58,28,0,Dry,2.7,27
28,Cryptosporidiosis+Giardiasis,08-07-12,2008,153,7,18,10,24,0,Dry,2.51,28
29,Cryptosporidiosis+Giardiasis,08-07-19,2008,183,7,5.35,25,27,0,Dry,1.42,29
30,Cryptosporidiosis+Giardiasis,08-07-26,2008,435,7,0,28,31,0,Dry,0.37,30
